gender,Near_Location,Partner,Phone,Contract_period,Age,Month_to_end_contract,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
1,1,1,0,6,29,5,0.020397948,0,0
0,1,0,1,12,31,12,1.922936055,1.910243522,0
0,1,1,1,1,28,1,1.859098347,1.736501892,0
0,1,1,1,12,33,12,3.205632768,3.357214513,0
1,1,1,1,1,26,1,1.1138844,1.120078107,0
1,1,0,1,1,34,1,2.623476807,2.637006965,0
1,1,1,0,6,32,6,1.138941228,1.277241631,0
0,1,0,1,1,30,1,1.213501963,1.049387145,1
1,1,1,1,1,23,1,1.106238933,1.059332977,0
0,1,0,1,1,31,1,1.810851905,1.951367655,0
0,1,0,0,6,32,6,1.641179662,1.367713967,0
1,1,1,1,1,27,1,2.348535336,1.584315827,1
0,1,1,1,1,33,1,3.36860575,3.391853172,0
1,1,0,1,1,27,1,0,0,1
0,1,0,1,6,35,3,1.978083818,2.117349156,0
0,1,1,1,12,29,10,2.850402196,2.836455259,0
0,1,1,1,1,31,1,3.342261143,3.206223223,0
0,1,0,1,6,29,5,0.664482475,0.609945294,0
0,1,0,1,1,30,1,1.507075576,1.578738048,0
1,1,1,1,12,29,11,1.14132701,1.15845453,0
1,1,0,1,6,29,6,3.563598988,3.479553073,0
0,0,0,1,1,30,1,0.636381801,0,1
1,1,0,1,12,29,12,3.899715124,3.709854879,0
1,1,0,1,1,32,1,1.420637156,1.04310121,1
0,1,0,0,6,27,6,3.393160619,3.282515346,0
0,0,0,1,1,29,1,1.491187497,1.246806504,1
0,1,1,1,6,29,6,3.311349562,3.243411886,0
1,1,0,1,6,27,6,0.824283314,0.795761049,0
0,1,0,1,1,28,1,1.459409447,1.320371629,0
0,1,1,1,6,27,5,3.511568179,3.528885688,0
0,1,1,1,1,32,1,1.771691979,1.687871912,0
0,1,0,1,12,32,12,0,0,0
0,1,0,1,12,32,12,2.374935354,2.265088894,0
0,1,1,1,12,29,12,3.083502749,3.137978891,0
0,1,0,1,6,26,5,1.695006302,1.678118722,0
0,1,0,1,12,33,12,0.561138484,0.565910621,0
0,1,0,0,1,34,1,1.069989268,1.051994542,0
1,1,0,1,1,32,1,3.372313804,3.315714935,0
1,1,1,1,12,25,12,1.794938577,1.71677779,0
1,1,0,0,6,35,6,1.270751504,1.206591035,0
0,1,1,1,12,33,12,2.945237965,3.008917867,0
0,1,1,0,1,25,1,0.878949848,0.009244081,1
0,1,0,1,12,36,12,2.046309894,2.07970426,0
0,1,1,0,1,30,1,3.863329319,3.808261701,0
1,1,1,1,12,29,9,3.071430754,3.112817956,0
1,1,1,1,6,29,6,1.391037096,1.354437185,0
1,1,0,1,1,26,1,0.854079257,0,1
1,1,1,1,6,33,6,3.373237583,3.378391178,0
1,1,0,1,1,25,1,2.91504497,2.868584955,0
0,1,0,1,6,27,6,2.288928345,2.204329295,0
1,1,0,1,1,33,1,1.802518542,1.721623547,0
1,0,1,1,1,29,1,1.685822841,1.661742077,0
1,1,0,1,1,30,1,1.491547003,1.05926085,1
0,1,0,1,6,24,4,3.005656471,2.987132801,0
0,1,0,1,12,23,11,0.029427566,0.213189092,0
0,1,1,0,1,30,1,1.893015397,1.900943038,0
1,1,0,1,6,30,6,1.686987233,1.708879768,0
0,1,0,1,6,27,6,0.996493017,0,1
1,1,1,1,6,28,6,0.633591609,0.755099793,0
1,1,1,1,1,34,1,0,0,0
0,1,1,1,1,28,1,1.026610508,0.960487015,1
0,1,1,1,6,32,5,0.81356149,0.874677367,0
0,1,1,0,6,34,6,0,0,0
1,1,0,1,1,28,1,0.42501141,0.605246541,1
0,1,1,1,6,30,6,2.917374157,2.968503818,0
1,1,1,1,1,31,1,1.424518114,1.03595631,0
